threshold,FPR,FNR,n
0.5023253335532261,0.06206896551724138,0.299080459770115,5
0.5982778544156944,0.03977011494252874,0.218544061302682,10
0.5740063991953855,0.03670498084291188,0.19655172413793098,15
0.5896870025209378,0.027586206896551724,0.1820689655172414,20
0.5694830623634279,0.028735632183908046,0.17333333333333334,25
0.5028710566183633,0.04268199233716475,0.1486590038314176,30
0.4930581606999055,0.047203065134099616,0.14145593869731798,35
0.46867004462426665,0.05931034482758621,0.11724137931034484,40
0.5028459022096023,0.04743295019157088,0.11126436781609195,45
0.484275072674849,0.059770114942528735,0.09394636015325675,50
0.44484359534280504,0.07164750957854406,0.07126436781609191,55
0.4588478657512407,0.06773946360153257,0.0684291187739463,60
0.505348441871294,0.056015325670498085,0.06743295019157092,65
0.45327867590240656,0.06888888888888889,0.049731800766283474,70
0.4496732249137324,0.06973180076628352,0.04735632183908045,75
0.4579723836282072,0.06360153256704981,0.0464367816091954,80
0.42743370916932477,0.06160919540229885,0.03570881226053635,85
0.49326221530918496,0.04490421455938697,0.049118773946360106,90
0.4254754758348245,0.051111111111111114,0.03977011494252869,95
0.3988515151765589,0.0485823754789272,0.03509578544061298,100
0.3834127947686843,0.0464367816091954,0.03632183908045972,105
0.3694520607935019,0.043371647509578545,0.03509578544061298,110
0.342869594166799,0.04053639846743295,0.03356321839080456,115
0.3009894647010449,0.0432183908045977,0.03249042145593872,120
0.2668168663786518,0.04153256704980843,0.028888888888888853,125
0.21596255162931924,0.04636015325670498,0.026206896551724146,130
0.19213155908203047,0.04298850574712643,0.02145593869731799,135
0.21254538179038143,0.03057471264367816,0.031340996168582325,140
0.15485034080046692,0.039233716475095784,0.025134099616858196,145
0.15094842557107133,0.03210727969348659,0.028275862068965485,150
0.13006015210714927,0.030421455938697318,0.028735632183908066,155
0.09585472343645358,0.035555555555555556,0.023295019157088093,160
0.07663049434568524,0.03777777777777778,0.020459770114942488,165
0.06351764411955102,0.033563218390804596,0.018084291187739465,170
0.05475989650582505,0.03532567049808429,0.018544061302682047,175
0.05087125483313933,0.030421455938697318,0.01992337164750957,180
0.04066319092095941,0.03379310344827586,0.020689655172413834,185
0.036367185035470775,0.030114942528735634,0.021072796934865856,190
0.028250890891038206,0.030957854406130268,0.01777777777777778,195
0.02435520103624868,0.028735632183908046,0.01992337164750957,200
0.017258184952236657,0.03386973180076629,0.012643678160919491,205
0.01600605835701989,0.028812260536398467,0.016091954022988464,210
0.013860008197307247,0.02996168582375479,0.014942528735632177,215
0.01159659618586264,0.033563218390804596,0.012107279693486572,220
0.01156585090438335,0.02482758620689655,0.017931034482758568,225
0.009506873039160006,0.031724137931034485,0.012107279693486572,230
0.008652401733591147,0.029808429118773946,0.01118773946360152,235
0.00805082488592723,0.028888888888888888,0.011877394636015337,240
0.00751383021985311,0.028735632183908046,0.013946360153256676,245
0.006625922483308922,0.029272030651340996,0.010881226053639836,250
0.006251358652479094,0.027662835249042145,0.011340996168582418,255
0.005698123621334233,0.027586206896551724,0.010344827586206917,260
0.005376941358057335,0.024444444444444446,0.012873563218390838,265
0.004858837334037158,0.025517241379310347,0.012183908045977021,270
0.004341807625293227,0.024597701149425288,0.009348659003831417,275
0.004060778482772009,0.02490421455938697,0.01172413793103444,280
0.0035673323687171934,0.02735632183908046,0.009425287356321865,285
0.003310536760591611,0.025517241379310347,0.008429118773946365,290
0.0030023664589986583,0.024597701149425288,0.008429118773946365,295
0.0026701773988258575,0.027969348659003832,0.005900383141762444,300
0.0026074926234446864,0.021915708812260536,0.008812260536398497,305
0.002242656334562561,0.027509578544061303,0.006206896551724128,310
0.002103147412542432,0.02574712643678161,0.005900383141762444,315
0.002010296101668725,0.02367816091954023,0.009501915708812314,320
0.001843612142777177,0.021685823754789273,0.007969348659003783,325
0.001711179012311827,0.022145593869731802,0.008735632183908049,330
0.0014986809045439487,0.023984674329501916,0.005823754789271995,335
0.0013891434068103103,0.02490421455938697,0.007203065134099629,340
0.001322008413210954,0.02160919540229885,0.00819923371647513,345
0.001174291076483554,0.02413793103448276,0.0052107279693486275,350
0.001142483134966351,0.02160919540229885,0.0086590038314176,355
0.0010235988847218562,0.022452107279693486,0.007432950191570864,360
0.0009706962914566186,0.0210727969348659,0.008429118773946365,365
0.0008795587805593484,0.021839080459770115,0.007356321839080415,370
0.0007999996790478477,0.022911877394636015,0.005823754789271995,375
0.0007626934134524484,0.02045977011494253,0.0086590038314176,380
0.000693576193349065,0.020306513409961684,0.005747126436781658,385
0.0006404638096205088,0.021839080459770115,0.005670498084291209,390
0.0005823511938549059,0.02375478927203065,0.004980842911877392,395
0.0005484379013007472,0.01984674329501916,0.006283524904214577,400
0.000500911340780416,0.020919540229885056,0.006436781609195363,405
0.00046998111657439376,0.02053639846743295,0.0069731800766283936,410
0.0004097924472558632,0.022145593869731802,0.002681992337164707,415
0.0004063007023716068,0.019157088122605363,0.00666666666666671,420
0.0003581512968470846,0.02153256704980843,0.004137931034482789,425
0.0003421956450521877,0.01946360153256705,0.004444444444444473,430
0.000308357686301557,0.022222222222222223,0.00406130268199234,435
0.00027578845535956343,0.021839080459770115,0.0028352490421456045,440
0.000259099762128704,0.02160919540229885,0.002988505747126391,445
0.00024396329138770743,0.020613026819923372,0.0036781609195402076,450
0.00022075068077394703,0.022222222222222223,0.0028352490421456045,455
0.00021029899859544381,0.020229885057471263,0.004367816091954024,460
0.00019498345038177362,0.020689655172413793,0.0045977011494252595,465
0.00018151816768065404,0.01885057471264368,0.004214559386973127,470
0.00016351451328827345,0.019693486590038313,0.0031417624521072884,475
0.0001533050146694644,0.01908045977011494,0.0034482758620689724,480
0.000144449111467757,0.0178544061302682,0.004444444444444473,485
0.00012718401302113112,0.020613026819923372,0.0022222222222222365,490
0.0001234040881934035,0.01885057471264368,0.004444444444444473,495
0.00010945052366890085,0.01946360153256705,0.0024521072796934718,500
0.00010579931413996761,0.018620689655172412,0.0045977011494252595,505
9.28170986759763e-05,0.02045977011494253,0.002145593869731788,510
8.742634836416362e-05,0.01854406130268199,0.0026053639846743692,515
8.435667546960938e-05,0.01739463601532567,0.004750957854406157,520
7.608844242038888e-05,0.017624521072796936,0.002988505747126391,525
6.884318657984e-05,0.01885057471264368,0.0025287356321839205,530
6.438849844470666e-05,0.01885057471264368,0.002068965517241339,535
5.8945638407669576e-05,0.01984674329501916,0.0024521072796934718,540
5.468034370948759e-05,0.01839080459770115,0.0027586206896551557,545
4.994969648863635e-05,0.018620689655172412,0.002375478927203023,550
4.6745726442009595e-05,0.019693486590038313,0.0022988505747126853,555
4.480875669448549e-05,0.018084291187739465,0.004291187739463576,560
4.0893491755421726e-05,0.018237547892720307,0.003908045977011443,565
3.666124081461122e-05,0.01954022988505747,0.002068965517241339,570
3.3602893129867475e-05,0.01846743295019157,0.002145593869731788,575
3.2512573632287914e-05,0.017241379310344827,0.003524904214559421,580
2.921653704875814e-05,0.0178544061302682,0.0018390804597701038,585
2.679339821097694e-05,0.01885057471264368,0.002068965517241339,590
2.5722415544158523e-05,0.015938697318007664,0.004521072796934811,595
2.3161097772217257e-05,0.01800766283524904,0.0027586206896551557,600
2.174924945701008e-05,0.016398467432950193,0.0028352490421456045,605
2.0056235975898705e-05,0.017241379310344827,0.0033716475095785237,610
1.8439064201293876e-05,0.017164750957854406,0.0024521072796934718,615
1.7681684215531074e-05,0.016475095785440614,0.003984674329501892,620
1.562172530394572e-05,0.01731800766283525,0.0016858237547893173,625
1.4378632637063731e-05,0.01747126436781609,0.0028352490421456045,630
1.3271449180595958e-05,0.01846743295019157,0.0016858237547893173,635
1.2142926749742971e-05,0.018620689655172412,0.0013026819923371846,640
1.1030168976045607e-05,0.019157088122605363,0.0010727969348659494,645
1.0783559121050616e-05,0.01685823754789272,0.002988505747126391,650
9.692984944538804e-06,0.017701149425287357,0.0019157088122605526,655
9.079661659348732e-06,0.015632183908045976,0.0019923371647510013,660
8.387679542944259e-06,0.017164750957854406,0.002375478927203023,665
7.449333250527027e-06,0.018084291187739465,0.0011494252873562871,670
7.098997095946135e-06,0.017701149425287357,0.0019157088122605526,675
6.815479967409157e-06,0.016934865900383143,0.003831417624521105,680
6.162457917819416e-06,0.017164750957854406,0.0016858237547893173,685
5.660741895409577e-06,0.01793103448275862,0.0019923371647510013,690
5.193599377981797e-06,0.017011494252873564,0.0019157088122605526,695
4.912945912714972e-06,0.016704980842911877,0.0024521072796934718,700
4.435513286091151e-06,0.016475095785440614,0.0019923371647510013,705
4.123554001532765e-06,0.017241379310344827,0.0022222222222222365,710
3.742189782359068e-06,0.016781609195402298,0.0009961685823755007,715
3.511850478262685e-06,0.016168582375478927,0.0016858237547893173,720
3.2730545478969207e-06,0.016091954022988506,0.001762452107279655,725
3.000491566400794e-06,0.016628352490421456,0.002145593869731788,730
2.8534043945067782e-06,0.01578544061302682,0.0027586206896551557,735
2.6559347451737773e-06,0.016091954022988506,0.0024521072796934718,740
2.2568463996949164e-06,0.01992337164750958,0.0005363984674329192,745
2.1574035253827817e-06,0.017011494252873564,0.0016858237547893173,750
2.026695363909112e-06,0.01846743295019157,0.0019157088122605526,755
1.921671960976368e-06,0.016704980842911877,0.0027586206896551557,760
1.712064779261985e-06,0.017164750957854406,0.0015325670498084198,765
1.5899186038951695e-06,0.017777777777777778,0.0016091954022988686,770
1.5068249141448918e-06,0.016091954022988506,0.0022222222222222365,775
1.3588938088280967e-06,0.01731800766283525,0.0019157088122605526,780
1.262003241437829e-06,0.01747126436781609,0.0009195402298850519,785
1.1630726134980943e-06,0.017547892720306515,0.0013026819923371846,790
1.0847089540472192e-06,0.017547892720306515,0.0013026819923371846,795
1.023715352753578e-06,0.016245210727969348,0.002375478927203023,800
9.192602398398329e-07,0.01685823754789272,0.001455938697317971,805
8.641673384539094e-07,0.016704980842911877,0.002145593869731788,810
7.884670637426447e-07,0.016168582375478927,0.0008429118773946032,815
7.278758733412076e-07,0.01793103448275862,0.0016091954022988686,820
6.708571918552293e-07,0.016934865900383143,0.0015325670498084198,825
6.224619921253599e-07,0.016398467432950193,0.0009961685823755007,830
5.816988067687288e-07,0.015708812260536397,0.0015325670498084198,835
5.322000059773852e-07,0.016551724137931035,0.0013026819923371846,840
4.971545743643862e-07,0.01578544061302682,0.0012260536398467359,845
4.394239807208343e-07,0.017241379310344827,0.0009195402298850519,850
4.209330501159733e-07,0.016168582375478927,0.0015325670498084198,855
3.8556417515405875e-07,0.016091954022988506,0.001455938697317971,860
3.5916561477950804e-07,0.016704980842911877,0.0015325670498084198,865
3.3611306838230686e-07,0.015555555555555555,0.001762452107279655,870
3.063626140785501e-07,0.01731800766283525,0.0013026819923371846,875
2.869669330678025e-07,0.015478927203065134,0.0013793103448276334,880
2.6322781563483676e-07,0.016551724137931035,0.0016091954022988686,885
2.4577930852463553e-07,0.016245210727969348,0.0018390804597701038,890
2.2234930338632235e-07,0.016091954022988506,0.0011494252873562871,895
2.070524570546491e-07,0.016781609195402298,0.0013026819923371846,900
1.914740847512853e-07,0.016168582375478927,0.0012260536398467359,905
1.8066965254502666e-07,0.01532567049808429,0.002068965517241339,910
1.6329678258612394e-07,0.017241379310344827,0.0009195402298850519,915
1.5082589363548222e-07,0.01632183908045977,0.0013026819923371846,920
1.4319413067809072e-07,0.015632183908045976,0.002145593869731788,925
1.3311936021274897e-07,0.015938697318007664,0.0022222222222222365,930
1.207328257203276e-07,0.016245210727969348,0.0009961685823755007,935
1.1417061602716979e-07,0.015019157088122605,0.0026053639846743692,940
1.0026052218153756e-07,0.017547892720306515,0.0009195402298850519,945
9.280432240847336e-08,0.016551724137931035,0.0006896551724138167,950
8.683970591157997e-08,0.016245210727969348,0.001455938697317971,955
8.087335100428598e-08,0.016398467432950193,0.0009961685823755007,960
7.629692249650249e-08,0.016015325670498085,0.001762452107279655,965
6.854005301661704e-08,0.016091954022988506,0.0009195402298850519,970
6.307486424302683e-08,0.016551724137931035,0.0008429118773946032,975
6.093051387383429e-08,0.01524904214559387,0.0019923371647510013,980
5.361614824172723e-08,0.016398467432950193,0.0006130268199233679,985
5.204306728850227e-08,0.015019157088122605,0.0025287356321839205,990
4.637448887738675e-08,0.016628352490421456,0.0009961685823755007,995
4.1542720982195974e-08,0.01685823754789272,0.0006130268199233679,1000
